video_id,item_id,release_date,status,channel_id,channel_name,subscribers,views,likes,comments,duration,live_status
oFicrkZIfrI,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS43RjJDODY0NjU3N0JFRkZC,2023-01-20 21:12:27+00:00,public,UCVE-ybBDg3UHSUylEVdPAsw,Above & Beyond,980000,58218,1293,64,7200.0,none
HH98AZlh3FI,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5DRjk1QzcyRTk3OTI5NzU1,2023-01-21 07:16:45+00:00,public,UCGXkgynD9YyoEIVyqpaUElw,Enhanced Music,91700,2372,131,16,7205.0,none
Ga2FN96NL_s,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5FRUE2NUY1OEM3NkQwMUVE,2023-01-21 15:00:17+00:00,public,UCuCFbUOszL3QkYVUWZzKH8Q,Musical Freedom,725000,2023,90,9,3608.0,none
veW-FoTN30M,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4wRUY3NzJGODYyMjQzNUU0,2023-01-21 16:00:08+00:00,public,UCtZZIenge-VfCE1eAXgLd4g,Culture Shock by Vintage Culture,10700,4010,174,23,3604.0,none
oOJrj3ITnBg,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS44MTA2QkYxNUZFRkY5QjQ4,2023-01-21 17:00:11+00:00,public,UC-EVnno6x6-aAG6g1ZVoN3A,Oliver Heldens,841000,22171,563,52,5929.0,none
1cpZjqxUd28,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4xQkI2NzVGNThBMDhCNDc0,2023-01-22 15:00:01+00:00,public,UCbDgBFAketcO26wz-pR6OKA,Anjunadeep,543000,19450,836,34,1893.0,none
OBpeHWvt4BA,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5BMTI0Q0Y2N0ZFREI0OTlB,2023-01-23 00:16:28+00:00,public,UCPk3RMMXAfLhMJPFpQhye9g,Tiësto,6370000,79857,4296,248,7466.0,none
U970TlWaFck,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5DQTFBQ0Y0MjA5NUVGRDhC,2023-01-23 10:00:14+00:00,public,UCdUXAN90UQV4sxNehj5Vflw,Nora En Pure,340000,44967,1116,148,3604.0,none
e-P0DQywjjg,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5CNDBGM0VEN0QwQjk2Njk1,2023-01-23 12:00:32+00:00,public,UCGZXYc32ri4D0gSLPf2pZXQ,Armada Music TV,5110000,19654,231,94,3600.0,none
qZ33uiARMtE,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4yNkQ0OEUyMUVCRkU3MTc0,2023-01-23 19:00:41+00:00,public,UCSJ4gkVC6NrvII8umztf0Ow,Lofi Girl,11900000,62026,2254,109,1649.0,none
B7oI3w3HdPs,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS44MDRDM0Q3Nzg4RDM4MUE1,2023-01-23 23:00:09+00:00,public,UCBIfsPaQviN1LpnkWQvAGMQ,1001Tracklists,116000,1376,88,31,2993.0,none
TbrcDizxF1M,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5EMzNDODE0QjM5MTNBNDZE,2023-01-24 17:04:54+00:00,public,UCC1qRH2kSGu7AzBwqEPVnjg,Anjunabeats,312000,8738,424,22,3655.0,none
